nts_name	scale	edition	edition_note	province	sheet_name	east_west	utm_zone	style	year_valid	year_print	notes	multiple_sheets	copy	condition	Column 16
001F06	50.0	1.0		NS	Chedabucto Bay	w	20.0	p		1955.0
001M06	50.0	1.0		NL	Point Enragée	e	21.0	p		1957.0
001M06	50.0	1.0		NL	Point Enragée	w	21.0	p		1957.0
001M07	50.0	3.0		NL	Baine Harbour		21.0	p		1988.0
001M07	50.0	2.0	Provisional ; 	NL	Baine Harbour		21.0	p		1971.0
001M07	50.0	1.0		NL	Baine Harbour	e	21.0	p		1957.0
001M07	50.0	1.0		NL	Baine Harbour	w	21.0	p		1957.0
001M08	50.0	3.0		NL	Merasheen		21.0	p		1988.0
001M08	50.0	2.0	Provisional ; 	NL	Merasheen		21.0	p		1971.0
001M08	50.0	1.0		NL	Merasheen	e	21.0	p		1957.0
001M08	50.0	1.0		NL	Merasheen	w	21.0	p		1957.0
001M09	50.0	3.0		NL	Harbour Buffett		21.0	p		1988.0
001M09	50.0	2.0	Provisional ; 	NL	Harbour Buffett		21.0	p		1971.0
001M09	50.0	1.0		NL	Harbour Buffett	e	21.0	p		1957.0
001M09	50.0	1.0		NL	Harbour Buffett	w	21.0	p		1957.0
001M10	50.0	3.0		NL	Terrenceville		21.0	p		1988.0
001M10	50.0	2.0	Provisional ; 	NL	Terrenceville		21.0	p		1971.0
001M10	50.0	1.0		NL	Terrenceville	e	21.0	p		1957.0
001M10	50.0	1.0		NL	Terrenceville	w	21.0	p		1957.0
001M11	50.0	3.0		NL	Belleoram		21.0	p		1988.0
001M11	50.0	2.0	Provisional ; 	NL	Belleoram		21.0	p		1971.0
001M11	50.0	1.0		NL	Belleoram	e	21.0	p		1956.0
001M11	50.0	1.0		NL	Belleoram	w	21.0	p		1956.0
001M12	50.0	3.0		NL	Gaultois		21.0	p		1988.0
001M12	50.0	2.0	Provisional ; 	NL	Gaultois		21.0	p		1971.0
001M12	50.0	1.0		NL	Gaultois	e	21.0	p		1957.0
001M12	50.0	1.0		NL	Gaultois	w	21.0	p		1957.0
001M13	50.0	3.0		NL	St. Alban's		21.0	p		1997.0
001M13	50.0	2.0	Provisional ; 	NL	St. Alban's		21.0	p		1971.0
001M13	50.0	1.0		NL	St. Alban's	e	21.0	p		1957.0
001M13	50.0	1.0		NL	St. Alban's	w	21.0	p		1957.0
001M14	50.0	4.0		NL	Hungry Grove Pond		21.0	p		1990.0
001M14	50.0	3.0		NL	Hungry Grove Pond		21.0	p		1988.0
001M14	50.0	2.0	Provisional ; 	NL	Hungry Grove Pond		21.0	p		1970.0
001M14	50.0	1.0		NL	Hungry Grove Pond	e	21.0	p		1958.0
001M14	50.0	1.0		NL	Hungry Grove Pond	w	21.0	p		1958.0
001M15	50.0	4.0		NL	Gisborne Lake		21.0	p		1990.0
001M15	50.0	3.0		NL	Gisborne Lake		21.0	p		1988.0
001M15	50.0	2.0	Provisional ; 	NL	Gisborne Lake		21.0	p		1971.0
001M15	50.0	1.0		NL	Gisborne Lake	e	21.0	p		1958.0
001M15	50.0	1.0		NL	Gisborne Lake	w	21.0	p		1958.0
001M16	50.0	3.0		NL	Sound Island		21.0	p		1988.0
001M16	50.0	2.0	Provisional ; 	NL	Sound Island		21.0	p		1971.0
001M16	50.0	1.0		NL	Sound Island	e	21.0	p		1957.0
001M16	50.0	1.0		NL	Sound Island	w	21.0	p		1957.0
001N02	50.0	3.0		NL	Ferryland		22.0	p		1984.0
001N02	50.0	2.0		NL	Ferryland		22.0
001N02	50.0	1.0		NL	Ferryland	w	22.0	p		1954.0
001N03	50.0	5.0		NL	St. Catherine's		22.0	p		1985.0
001N03	50.0	4.0		NL	St. Catherine's		22.0	p		1985.0
001N03	50.0	3.0	Provisional ;  	NL	St. Catherine's		22.0	p		1970.0
001N03	50.0	2.0	Revised ;	NL	St. Catherine's	e	22.0	p		1963.0
001N03	50.0	2.0	Revised ;	NL	St. Catherine's	w	22.0	p		1963.0
001N03	50.0	1.0		NL	St. Catherine's	e	22.0	p		1954.0				small tear ;
001N03	50.0	1.0		NL	St. Catherine's	w	22.0	p		1954.0
001N04	50.0	3.0		NL	Placentia		22.0	p		1985.0
001N04	50.0	2.0	Provisional ; 	NL	Placentia		22.0	p		1971.0
001N04	50.0	1.0		NL	Placentia	e	22.0	p		1955.0
001N04	50.0	1.0		NL	Placentia	w	22.0	p		1955.0
001N05	50.0	3.0		NL	Argentia		22.0	p		1985.0
001N05	50.0	2.0	Provisional ; 	NL	Argentia		22.0	p		1972.0
001N05	50.0	1.0		NL	Argentia	e	22.0	p		1954.0
001N05	50.0	1.0		NL	Argentia	w	22.0	p		1954.0
001N06	50.0	4.0		NL	Holyrood		22.0	p		1985.0
001N06	50.0	3.0		NL	Holyrood		22.0	p		1985.0
001N06	50.0	2.0		NL	Holyrood		22.0	p		1971.0
001N06	50.0	1.0		NL	Holyrood	e	22.0	p		1956.0
001N06	50.0	1.0		NL	Holyrood	w	22.0	p		1956.0
001N06	63.0	1.0	Provisional ; 	NL	Holyrood		22.0	p		1943.0
001N07	50.0	4.0		NL	Bay Bulls		22.0	p		2000.0
001N07	50.0	3.0		NL	Bay Bulls		22.0	p		1983.0
001N07	50.0	2.0	Provisional ; 	NL	Bay Bulls		22.0	p		1971.0
001N07	50.0	1.0		NL	Bay Bulls	e	22.0	p		1955.0
001N07	50.0	1.0		NL	Bay Bulls	w	22.0	p		1955.0
001N07	63.0		no edition ;	NL	Bay Bulls		22.0	p		1943.0
001N10	50.0	7.0		NL	St John's		22.0	p		1989.0
001N10	50.0	6.0		NL	St John's		22.0	p		1979.0
001N10	50.0	4.0		NL	St John's	e	22.0	p		1966.0
001N10	50.0	4.0		NL	St John's	w	22.0	p		1966.0
001N10	50.0	3.0		NL	St John's	e	22.0	p		1955.0
001N10	50.0	3.0		NL	St John's	w	22.0	p		1955.0
001N10	63.0		ASE ;	NL	St. Johns		22.0	p		1942.0
001N10	50.0	8.0		NL	St. John's		22.0	p		2000.0
001N10	50.0	5.0		NL	St. John's		22.0	p		1971.0
001N10	50.0	2.0		NL	St. John's	e	22.0	p		1959.0
001N10	50.0	2.0		NL	St. John's	w	22.0	p		1959.0
001N11	50.0	3.0		NL	Harbour Grace		22.0	p		1985.0
001N11	50.0	2.0		NL	Harbour Grace		22.0	p		1972.0
001N11	50.0	1.0		NL	Harbour Grace	e	22.0	p		1954.0
001N11	50.0	1.0		NL	Harbour Grace	w	22.0	p		1954.0
001N11	63.0	1.0		NL	Harbour Grace		22.0	p		1948.0
001N12	50.0	3.0		NL	Dildo		22.0	p		1985.0
001N12	50.0	2.0	Provisional ; 	NL	Dildo		22.0	p		1971.0
001N12	50.0	1.0		NL	Dildo	e	22.0	p		1954.0
001N12	50.0	1.0		NL	Dildo	w	22.0	p		1954.0
001N13	50.0	3.0		NL	Sunnyside		22.0	p		1986.0
001N13	50.0	2.0	Provisional ; 	NL	Sunnyside		22.0	p		1971.0
001N13	50.0	1.0		NL	Sunnyside	e	22.0	p		1955.0
001N13	50.0	1.0		NL	Sunnyside	w	22.0	p		1955.0			c.1
001N13	50.0	1.0		NL	Sunnyside	w	22.0	p		1955.0			c.2
001N14	63.0	1.0	Preliminary ;	NL	Hearts Content		22.0	p		1946.0
001N14	50.0	3.0		NL	Heart's Content		22.0	p		1985.0
001N14	50.0	2.0		NL	Heart's Content		22.0	p		1971.0
001N14	50.0	1.0		NL	Heart's Content	e	22.0	p		1954.0
001N14	50.0	1.0		NL	Heart's Content	w	22.0	p		1954.0
001N15	50.0	6.0		NL	Pouch Cove		22.0	p		1988.0
001N15	50.0	5.0		NL	Pouch Cove		22.0	p		1979.0
001N15	50.0	4.0	Provisional ; 	NL	Pouch Cove		22.0	p		1966.0
001N15	50.0	3.0		NL	Pouch Cove		22.0	p		1965.0
001N15	50.0	2.0		NL	Pouch Cove		22.0	p		1963.0
001N15	50.0	1.0		NL	Pouch Cove		22.0
002C02	50.0	3.0		NL	Bay de Verde		22.0	p		1982.0
002C02	50.0	2.0		NL	Bay de Verde		22.0	p		1971.0
002C02	50.0	1.0		NL	Bay de Verde	w	22.0	p		1954.0
002C02	50.0	1.0		NL	Bay de Verde	e	22.0	p		1954.0
002C03	50.0	3.0		NL	Old Perlican		22.0	p		1988.0
002C03	50.0	2.0		NL	Old Perlican		22.0	p		1971.0
002C03	50.0	1.0		NL	Old Perlican	e	22.0	p		1954.0
002C03	50.0	1.0		NL	Old Perlican	w	22.0	p		1954.0
002C04	50.0	3.0		NL	Random Island		22.0	p		1988.0
002C04	50.0	2.0	Provisional ; 	NL	Random Island		22.0	p		1972.0
002C04	50.0	1.0		NL	Random Island	e	22.0	p		1955.0
002C04	50.0	1.0		NL	Random Island	w	22.0	p		1955.0
002C05	50.0	3.0		NL	Sweet Bay		22.0	p		1988.0
002C05	50.0	2.0	Provisional ; 	NL	Sweet Bay		22.0	p		1972.0
002C05	50.0	1.0		NL	Sweet Bay	e	22.0	p		1954.0
002C05	50.0	1.0		NL	Sweet Bay	w	22.0	p		1954.0
002C06	50.0	3.0		NL	Trinity		22.0	p		1988.0
002C06	50.0	2.0	Provisional ; 	NL	Trinity		22.0	p		1972.0
002C06	50.0	1.0		NL	Trinity	e	22.0	p		1953.0
002C06	50.0	1.0		NL	Trinity	w	22.0	p		1953.0
002C11	50.0	3.0		NL	Bonavista		22.0	p		1988.0
002C11	50.0	2.0	Provisional ; 	NL	Bonavista		22.0	p		1972.0
002C11	50.0	1.0		NL	Bonavista	e	22.0	p		1953.0
002C11	50.0	1.0		NL	Bonavista	w	22.0	p		1953.0
002C12	50.0	3.0		NL	Eastport		22.0	p		1988.0
002C12	50.0	2.0	Provisional ; 	NL	Eastport		22.0	p		1972.0
002C12	50.0	1.0		NL	Eastport	e	22.0	p		1953.0
002C12	50.0	1.0		NL	Eastport	w	22.0	p		1953.0
002C13	50.0	2.0	Provisional ; 	NL	St Brendan's		22.0	p		1971.0
002C13	50.0	1.0		NL	St. Brendans	e	22.0	p		1954.0
002C13	50.0	1.0		NL	St. Brendans	w	22.0	p		1954.0
002C13	50.0	3.0		NL	St. Brendan's		22.0	p		1988.0
002D01	50.0	4.0		NL	Tug Pond		21.0	p		1990.0
002D01	50.0	3.0		NL	Tug Pond		21.0	p		1986.0
002D01	50.0	2.0	Provisional ; 	NL	Tug Pond		21.0	p		1971.0
002D01	50.0	1.0		NL	Tug Pond	e	21.0	p		1956.0
002D01	50.0	1.0		NL	Tug Pond	w	21.0	p		1956.0
002D02	50.0	4.0		NL	Meta Pond		21.0	p		1990.0
002D02	50.0	3.0		NL	Meta Pond		21.0	p		1986.0
002D02	50.0	2.0	Provisional ; 	NL	Meta Pond		21.0	p		1970.0
002D02	50.0	1.0		NL	Meta Pond	e	21.0	p		1958.0
002D02	50.0	1.0		NL	Meta Pond	w	21.0	p		1958.0
002D03	50.0	4.0		NL	Mount Sylvester		21.0	p		1990.0
002D03	50.0	3.0		NL	Mount Sylvester		21.0	p		1986.0
002D03	50.0	2.0	Provisional ; 	NL	Mount Sylvester		21.0	p		1970.0
002D03	50.0	1.0		NL	Mount Sylvester	e	21.0	p		1958.0
002D03	50.0	1.0		NL	Mount Sylvester	w	21.0	p		1958.0
002D04	50.0	3.0		NL	Twillick Brook		21.0	p		1986.0
002D04	50.0	2.0	Provisional ; 	NL	Twillick Brook		21.0	p		1971.0
002D04	50.0	1.0		NL	Twillick Brook	e	21.0	p		1958.0
002D04	50.0	1.0		NL	Twillick Brook	w	21.0	p		1958.0
002D05	50.0	3.0		NL	Burnt Hill		21.0	p		1986.0
002D05	50.0	2.0	Provisional ; 	NL	Burnt Hill		21.0	p		1971.0
002D05	50.0	1.0		NL	Burnt Hill	e	21.0	p		1958.0
002D05	50.0	1.0		NL	Burnt Hill	w	21.0	p		1958.0
002D06	50.0	4.0		NL	Great Gull Lake		21.0	p		1990.0
002D06	50.0	4.0	Overprint ;	NL	Great Gull Lake		21.0	p		1990.0	Overprint of 3rd ed.  ; interim corrections 1990 ;
002D06	50.0	3.0		NL	Great Gull Lake		21.0	p		1986.0
002D06	50.0	2.0	Provisional ; 	NL	Great Gull Lake		21.0	p		1971.0
002D06	50.0	1.0		NL	Great Gull Lake	e	21.0			1958.0
002D06	50.0	1.0		NL	Great Gull Lake	w	21.0			1958.0
002D07	50.0	4.0		NL	Kepenkeck Lake		21.0	p		1990.0
002D07	50.0	3.0		NL	Kepenkeck Lake		21.0	p		1986.0
002D07	50.0	2.0	Provisional ; 	NL	Kepenkeck Lake		21.0	p		1970.0
002D07	50.0	1.0		NL	Kepenkeck Lake	e	21.0	p		1958.0
002D07	50.0	1.0		NL	Kepenkeck Lake	w	21.0	p		1958.0
002D08	50.0	4.0		NL	Port Blandford		21.0	p		1990.0
002D08	50.0	3.0		NL	Port Blandford		21.0	p		1987.0
002D08	50.0	2.0	Provisional ; 	NL	Port Blandford		21.0	p		1971.0
002D08	50.0	1.0		NL	Port Blandford	e	21.0	p		1954.0
002D08	50.0	1.0		NL	Port Blandford	w	21.0	p		1954.0
002D09	50.0	3.0		NL	Glovertown		21.0	p		1986.0
002D09	50.0	2.0	Provisional ; 	NL	Glovertown		21.0	p		1971.0
002D09	50.0	1.0		NL	Glovertown	e	21.0	p		1954.0
002D09	50.0	1.0		NL	Glovertown	w	21.0	p		1954.0
002D10	50.0	3.0		NL	Dead Wolf Pond		21.0	p		1987.0
002D10	50.0	2.0	Provisional ; 	NL	Dead Wolf Pond		21.0	p		1970.0
002D10	50.0	1.0		NL	Dead Wolf Pond	e	21.0	p		1958.0
002D10	50.0	1.0		NL	Dead Wolf Pond	w	21.0	p		1958.0
002D11	50.0	3.0		NL	Eastern Pond		21.0	p		1987.0
002D11	50.0	2.0	Provisional ; 	NL	West Gander Rivers		21.0	p		1970.0
002D11	50.0	1.0		NL	West Gander Rivers	e	21.0	p		1957.0
002D11	50.0	1.0		NL	West Gander Rivers	w	21.0	p		1957.0
002D12	50.0	3.0		NL	Miguels Lake		21.0	p		1987.0
002D12	50.0	2.0	Provisional ; 	NL	Miguels Lake		21.0	p		1971.0
002D12	50.0	1.0		NL	Miguels Lake	e	21.0	p		1957.0
002D12	50.0	1.0		NL	Miguels Lake	w	21.0	p		1957.0
002D13	50.0	4.0		NL	Grand Falls		21.0	p		2000.0
002D13	50.0	3.0		NL	Grand Falls		21.0	p		1987.0
002D13	50.0	2.0		NL	Grand Falls		21.0	p		1971.0
002D13	50.0	1.0		NL	Grand Falls	e	21.0	p		1955.0
002D13	50.0	1.0		NL	Grand Falls	w	21.0	p		1955.0
002D13	63.0	1.0		NL	Grand Falls		21.0	p		1950.0
002D14	50.0	3.0		NL	Mount Peyton		21.0	p		1987.0
002D14	50.0	2.0	Provisional ; 	NL	Mount Peyton		21.0	p		1971.0
002D14	50.0	1.0		NL	Mount Peyton	e	21.0	p		1958.0
002D14	50.0	1.0		NL	Mount Peyton	w	21.0	p		1958.0
002D15	50.0	4.0		NL	Gander		21.0	p		2000.0
002D15	50.0	3.0		NL	Gander		21.0	p		1987.0
002D15	50.0	2.0	Provisional ; 	NL	Gander		21.0	p		1971.0
002D15	50.0	1.0		NL	Gander	e	21.0	p		1955.0
002D15	50.0	1.0		NL	Gander	w	21.0	p		1955.0
002D15	63.0			NL	Gander		21.0	p		1944.0
002D16	50.0	3.0		NL	Gambo		21.0	p		1987.0
002D16	50.0	2.0	Provisional ; 	NL	Gambo		21.0	p		1971.0
002D16	50.0	1.0		NL	Gambo	e	21.0	p		1953.0
002D16	50.0	1.0		NL	Gambo	w	21.0	p		1953.0
002E01	50.0	3.0		NL	Weir's Pond		21.0	p		1982.0
002E01	50.0	2.0	Provisional ; 	NL	Weir's Pond		21.0	p		1971.0
002E01	50.0	1.0		NL	Weir's Pond	e	21.0	p		1956.0
002E01	50.0	1.0		NL	Weir's Pond	w	21.0	p		1956.0
002E02	50.0	3.0		NL	Gander River		21.0	p		1981.0
002E02	50.0	2.0	Provisional ; 	NL	Gander River		21.0	p		1971.0
002E02	50.0	1.0		NL	Gander River	e	21.0	p		1955.0
002E02	50.0	1.0		NL	Gander River	w	21.0	p		1955.0
002E03	50.0	3.0		NL	Botwood		21.0	p		1981.0
002E03	50.0	2.0		NL	Botwood		21.0	p		1971.0
002E03	50.0	1.0		NL	Botwood	e	21.0	p		1954.0
002E03	50.0	1.0		NL	Botwood	w	21.0	p		1954.0
002E03	63.0			NL	Botwood		21.0	p		1942.0
002E04	50.0	3.0		NL	Hodges Hill		21.0	p		1981.0
002E04	50.0	2.0	Provisional ; 	NL	Hodges Hill		21.0	p		1971.0
002E04	50.0	1.0		NL	Hodges Hill	e	21.0	p		1955.0
002E04	50.0	1.0		NL	Hodges Hill	w	21.0	p		1955.0
002E05	50.0	1.0		NL	Roberts Arm	e	21.0	p		1954.0
002E05	50.0	1.0		NL	Roberts Arm	w	21.0	p		1954.0
002E05	50.0	3.0		NL	Robert's Arm		21.0	p		1981.0
002E05	50.0	2.0		NL	Robert's Arm		21.0
002E06	50.0	3.0		NL	Point Leamington		21.0	p		1982.0
002E06	50.0	2.0	Provisional ; 	NL	Point Leamington		21.0	p		1971.0
002E06	50.0	1.0		NL	Point Leamington	e	21.0	p		1956.0
002E06	50.0	1.0		NL	Point Leamington	w	21.0	p		1956.0
002E07	50.0	2.0		NL	Comfort Cove		21.0	p		1971.0
002E07	50.0	1.0		NL	Comfort Cove	e	21.0	p		1954.0
002E07	50.0	1.0		NL	Comfort Cove	w	21.0	p		1954.0
002E07	50.0	3.0		NL	Comfort Cove Newstead		21.0	p		1981.0
002E08	50.0	3.0		NL	Carmanville		21.0	p		1982.0
002E08	50.0	2.0		NL	Carmanville		21.0	p		1971.0
002E08	50.0	1.0		NL	Carmanville	e	21.0	p		1954.0
002E08	50.0	1.0		NL	Carmanville	w	21.0	p		1954.0
002E09	50.0	3.0		NL	Fogo		21.0	p		1983.0
002E09	50.0	2.0		NL	Fogo		21.0	p		1971.0
002E09	50.0	1.0		NL	Fogo	e	21.0	p		1954.0
002E09	50.0	1.0		NL	Fogo	w	21.0	p		1954.0
002E10	50.0	3.0		NL	Twillingate		21.0	p		1981.0
002E10	50.0	2.0		NL	Twillingate		21.0	p		1971.0
002E10	50.0	1.0		NL	Twillingate	e	21.0	p		1954.0
002E10	50.0	1.0		NL	Twillingate	w	21.0	p		1954.0
002E11	50.0	3.0		NL	Exploits		21.0	p		1981.0
002E11	50.0	2.0	Provisional ; 	NL	Exploits		21.0	p		1971.0
002E11	50.0	1.0		NL	Exploits	e	21.0	p		1954.0
002E11	50.0	1.0		NL	Exploits	w	21.0	p		1954.0
002E12	50.0	3.0		NL	Little Bay Island		21.0	p		1981.0
002E12	50.0	2.0	Provisional ; 	NL	Little Bay Island		21.0	p		1971.0
002E12	50.0	1.0		NL	Little Bay Island	e	21.0	p		1954.0
002E12	50.0	1.0		NL	Little Bay Island	w	21.0	p		1954.0
002E13	50.0	4.0		NL	Nippers Harbour		21.0	p		1993.0
002E13	50.0	3.0		NL	Nippers Harbour		21.0	p		1981.0
002E13	50.0	2.0	Provisional ; 	NL	Nippers Harbour		21.0	p		1972.0
002E13	50.0	1.0		NL	Nippers Harbour	e	21.0	p		1955.0
002E13	50.0	1.0		NL	Nippers Harbour	w	21.0	p		1955.0
002E14	50.0	3.0		NL	Cape Cove		21.0	p		1981.0
002E14	50.0	2.0	Provisional ; 	NL	Cape Cove		21.0	p		1971.0
002E14	50.0	1.0		NL	Cape Cove	e	21.0	p		1954.0
002E14	50.0	1.0		NL	Cape Cove	w	21.0	p		1954.0
002E16	50.0	2.0		NL	Little Fogo Islands		21.0	p		1981.0
002E16	50.0	1.0		NL	Little Fogo Islands		21.0
002F03	50.0	3.0		NL	Cabot Islands		22.0	p		1982.0
002F03	50.0	2.0	Provisional ; 	NL	Cabot Islands		22.0	p		1971.0
002F03	50.0	1.0		NL	Cabot Islands	w	22.0	p		1953.0
002F03	50.0	1.0		NL	Cabot Islands	e	22.0	p		1953.0
002F04	50.0	3.0		NL	Wesleyville		22.0	p		1983.0
002F04	50.0	2.0	Provisional ; 	NL	Wesleyville		22.0	p		1971.0
002F04	50.0	1.0		NL	Wesleyville	e	22.0	p		1954.0
002F04	50.0	1.0		NL	Wesleyville	w	22.0	p		1954.0
002F05	50.0	3.0		NL	Musgrave Harbour		22.0	p		1982.0
002F05	50.0	1.0		NL	Musgrave Harbour	e	22.0	p		1954.0
002F05	50.0	1.0		NL	Musgrave Harbour	w	22.0	p		1954.0
002F05	50.0	2.0		NL	Musgrave Harbour		22.0	p		1971.0
002F12	50.0	3.0		NL	Wadham Islands		22.0	p		1982.0
002F12	50.0	2.0	Provisional ; 	NL	Wadham Islands		22.0	p		1971.0
002F12	50.0	1.0		NL	Wadham Islands	w	22.0	p		1953.0
002F12	50.0	1.0		NL	Wadham Islands	e	22.0	p		1953.0
002L04	50.0	3.0		NL	Horse Islands		21.0	p		1993.0
002L04	50.0	2.0	Provisional ; 	NL	Horse Islands		21.0	p		1973.0
002L04	50.0	1.0		NL	Horse Islands	e	21.0	p		1954.0
002L04	50.0	1.0		NL	Horse Islands	w	21.0	p		1954.0
002L12	50.0	3.0		NL	Grey Islands Harbour		21.0	p		1993.0
002L12	50.0	2.0		NL	Grey Islands Harbour		21.0
002L12	50.0	1.0		NL	Grey Islands Harbour		21.0
002L13	50.0	3.0		NL	Groais Island		21.0	p	 	1993.0
002L13	50.0	2.0		NL	Groais Island		21.0	p		1973.0
002L13	50.0	1.0		NL	Groais Island	e	21.0	p		1956.0
002L13	50.0	1.0		NL	Groais Island	w	21.0	p		1956.0
002M04	50.0	3.0		NL	St. Julien's		21.0	p		1994.0
002M04	50.0	2.0		NL	St. Julien's		21.0	p		1973.0
002M04	50.0	1.0		NL	St. Julien's	e	21.0	p		1956.0
002M04	50.0	1.0		NL	St. Julien's	w	21.0	p		1956.0
002M04	50.0	1 ASE		NL	St. Julien's	w	21.0	p		1965.0
002M04	50.0	1 ASE		NL	St. Julien's	e	21.0	p		1965.0
002M05	50.0	1 ASE		NL	St Anthony	both	21.0	p		1965.0		M5 E + M6 W	c.1
002M05	50.0	1 ASE		NL	St Anthony	both	21.0	p		1965.0		M5 E + M6 W	c.2
002M05	50.0	2.0		NL	St Anthony		21.0	p		1973.0
002M05	50.0	1.0		NL	St. Anthony		21.0	p		1956.0		M5 E + M6 W
002M05	50.0	3.0		NL	St. Anthony		21.0	p		1994.0
002M05	50.0	1 ASE		NL	St. Anthony	w	21.0	p		1965.0
002M05	50.0	1 ASE		NL	St. Anthony	e	21.0	p		1965.0
002M05	50.0	1.0		NL	St. Anthony	w	21.0	p		1956.0
002M06	50.0	1 ASE		NL	St Anthony	both	21.0	p		1965.0		M5 E + M6 W	c.1
002M06	50.0	1 ASE		NL	St Anthony	both	21.0	p		1965.0		M5 E + M6 W	c.2
002M06	50.0	1.0		NL	St. Anthony		21.0	p		1956.0		M5 E + M6 W
002M11	50.0	3.0		NL	Quirpon		21.0	p		1994.0
002M11	50.0	2.0		NL	Quirpon		21.0	p		1973.0
002M11	50.0	1.0		NL	Quirpon	w	21.0	p		1954.0
002M11	50.0	1.0		NL	Quirpon	e	21.0	p		1954.0
002M12	50.0	3.0		NL	Raleigh		21.0	p		1993.0
002M12	50.0	2.0		NL	Raleigh		21.0	p		1973.0
002M12	50.0	1 ASE		NL	Raleigh	e	21.0	p		1965.0
002M12	50.0	1 ASE		NL	Raleigh	w	21.0	p		1965.0
002M12	50.0	1.0		NL	Raleigh	e	21.0	p		1956.0
002M12	50.0	1.0		NL	Raleigh	w	21.0	p		1956.0
002M13	50.0	1.0		NL	Henley Harbour	w	21.0	p		1958.0
002M14	50.0	2.0		NL	Belle Isle		21.0	p		1973.0
002M14	50.0	1.0		NL	Belle Isle	w	21.0	p		1954.0
